"industry_branch_name";"year_p";"pay_growth"
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2007;8.71
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2008;7.95
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2009;0.03
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2010;3.11
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2011;3.30
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2012;2.44
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2013;-0.94
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2014;3.24
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2015;4.30
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2016;4.80
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2017;7.48
"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2018;6.95
"Veřejná správa a obrana; povinné sociální zabezpečení";2007;7.56
"Veřejná správa a obrana; povinné sociální zabezpečení";2008;4.70
"Veřejná správa a obrana; povinné sociální zabezpečení";2009;3.14
"Veřejná správa a obrana; povinné sociální zabezpečení";2010;-0.33
"Veřejná správa a obrana; povinné sociální zabezpečení";2011;-2.24
"Veřejná správa a obrana; povinné sociální zabezpečení";2012;1.48
"Veřejná správa a obrana; povinné sociální zabezpečení";2013;0.09
"Veřejná správa a obrana; povinné sociální zabezpečení";2014;3.09
"Veřejná správa a obrana; povinné sociální zabezpečení";2015;4.74
"Veřejná správa a obrana; povinné sociální zabezpečení";2016;5.62
"Veřejná správa a obrana; povinné sociální zabezpečení";2017;8.13
"Veřejná správa a obrana; povinné sociální zabezpečení";2018;10.13
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2007;7.15
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2008;13.57
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2009;10.62
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2010;1.90
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2011;1.15
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2012;5.89
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2013;-4.37
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2014;1.21
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2015;-1.31
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2016;1.75
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2017;5.37
Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu;2018;6.39
Vzdělávání;2007;6.13
Vzdělávání;2008;4.05
Vzdělávání;2009;6.08
Vzdělávání;2010;-1.84
Vzdělávání;2011;3.01
Vzdělávání;2012;2.29
Vzdělávání;2013;1.71
Vzdělávání;2014;1.79
Vzdělávání;2015;1.83
Vzdělávání;2016;3.70
Vzdělávání;2017;6.07
Vzdělávání;2018;10.78
"Zásobování vodou; činnosti související s odpady a sanacemi";2007;5.56
"Zásobování vodou; činnosti související s odpady a sanacemi";2008;8.74
"Zásobování vodou; činnosti související s odpady a sanacemi";2009;2.93
"Zásobování vodou; činnosti související s odpady a sanacemi";2010;4.46
"Zásobování vodou; činnosti související s odpady a sanacemi";2011;0.59
"Zásobování vodou; činnosti související s odpady a sanacemi";2012;2.33
"Zásobování vodou; činnosti související s odpady a sanacemi";2013;-0.38
"Zásobování vodou; činnosti související s odpady a sanacemi";2014;2.75
"Zásobování vodou; činnosti související s odpady a sanacemi";2015;2.16
"Zásobování vodou; činnosti související s odpady a sanacemi";2016;2.57
"Zásobování vodou; činnosti související s odpady a sanacemi";2017;6.18
"Zásobování vodou; činnosti související s odpady a sanacemi";2018;6.52
Zdravotní a sociální péče;2007;5.96
Zdravotní a sociální péče;2008;5.08
Zdravotní a sociální péče;2009;8.34
Zdravotní a sociální péče;2010;2.76
Zdravotní a sociální péče;2011;4.31
Zdravotní a sociální péče;2012;1.76
Zdravotní a sociální péče;2013;0.17
Zdravotní a sociální péče;2014;2.54
Zdravotní a sociální péče;2015;4.58
Zdravotní a sociální péče;2016;4.86
Zdravotní a sociální péče;2017;9.08
Zdravotní a sociální péče;2018;9.45
Zemědělství, lesnictví, rybářství;2007;9.27
Zemědělství, lesnictví, rybářství;2008;9.73
Zemědělství, lesnictví, rybářství;2009;-0.62
Zemědělství, lesnictví, rybářství;2010;4.68
Zemědělství, lesnictví, rybářství;2011;3.27
Zemědělství, lesnictví, rybářství;2012;4.53
Zemědělství, lesnictví, rybářství;2013;3.45
Zemědělství, lesnictví, rybářství;2014;3.74
Zemědělství, lesnictví, rybářství;2015;1.48
Zemědělství, lesnictví, rybářství;2016;4.63
Zemědělství, lesnictví, rybářství;2017;5.52
Zemědělství, lesnictví, rybářství;2018;6.86
Zpracovatelský průmysl;2007;7.39
Zpracovatelský průmysl;2008;8.16
Zpracovatelský průmysl;2009;2.63
Zpracovatelský průmysl;2010;4.17
Zpracovatelský průmysl;2011;3.56
Zpracovatelský průmysl;2012;2.99
Zpracovatelský průmysl;2013;1.36
Zpracovatelský průmysl;2014;3.35
Zpracovatelský průmysl;2015;3.07
Zpracovatelský průmysl;2016;4.43
Zpracovatelský průmysl;2017;7.26
Zpracovatelský průmysl;2018;7.88
