"value_name","pay_value","unit_type","payroll_year","industry_branch_name","industry_code","food_name","food_code","price","price_value","price_unit","year_date"
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Máslo,115101,197.79,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Vejce slepičí čerstvá,114701,36.34,10.0,ks,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Eidamská cihla,114501,142.58,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Jogurt bílý netučný,114401,8.73,150.0,g,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Mléko polotučné pasterované,114201,19.5,1.0,l,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Šunkový salám,112704,142.03,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Kuřata kuchaná celá,112401,68.18,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Vepřová pečeně s kostí,112201,118.27,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Hovězí maso zadní bez kosti,112101,218.27,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Těstoviny vaječné,111602,46.55,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Pečivo pšeničné bílé,111303,45.23,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Chléb konzumní kmínový,111301,24.17,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Pšeničná mouka hladká,111201,11.43,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,19214.63,Kč,2017,Administrativní a podpůrné činnosti,N,Rýže loupaná dlouhozrnná,111101,36.3,1.0,kg,2017
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Kapr živý,2000001,85.07,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,"Pivo výčepní, světlé, lahvové",213201,11.23,0.5,l,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Jakostní víno bílé,212101,94.65,0.75,l,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Přírodní minerální voda uhličitá,122102,8.66,1.0,l,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Cukr krystalový,118101,17.59,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Konzumní brambory,117401,15.22,1.0,kg,2016
